cemented,uncemented,hybrid,reverse_hybrid
1572.264745,2883.906493,2226.507585,2174.028867
1547.332055,2910.56384,2226.578657,2117.977941
1561.938139,2872.603836,2205.12538,2105.054248
1581.110121,2911.413496,2251.108016,2153.341862
1508.950876,2903.123908,2210.495541,2147.525061
1537.946334,2940.39215,2206.386656,2168.141827
1564.34458,2927.27954,2224.738293,2151.467013
1563.981507,2930.505861,2265.22828,2164.022377
1541.244989,2893.900362,2230.657139,2098.789575
1601.266463,2907.860442,2240.346941,2156.64475
1577.809371,2904.433012,2250.076406,2145.628948
1603.482013,2904.837133,2229.140635,2164.343164
1532.756629,2900.27523,2246.333248,2133.48085
1549.951811,2925.560608,2262.81863,2171.247723
1595.644255,2919.805598,2272.110965,2143.77341
1513.07137,2930.096392,2215.081904,2175.511867
1574.203657,2948.720386,2269.187128,2131.874233
1595.783289,2886.346485,2226.326139,2145.147928
1583.879333,2958.806938,2206.785202,2162.032669
1557.071903,2890.594724,2238.56611,2126.996128
1558.328506,2901.127108,2205.67199,2115.81273
1558.477035,2899.768793,2261.785187,2118.186247
1534.207725,2913.172453,2213.230865,2113.271251
1535.912618,2941.789724,2222.256018,2149.891057
1595.126311,2914.493384,2244.012069,2166.266302
1589.363196,2883.605241,2224.490793,2133.280294
1559.831012,2936.463729,2274.205387,2142.876407
1564.735978,2912.278922,2249.07626,2130.566439
1535.231937,2889.541383,2250.28805,2154.654319
1535.012544,2918.817966,2214.120198,2121.391365
1573.274987,2919.207187,2227.778207,2145.48161
1539.785969,2930.439716,2282.781149,2146.423396
1614.590474,2928.371322,2298.600469,2146.203864
1546.001245,2921.909245,2244.098962,2110.231697
1500.597995,2914.629275,2224.321685,2154.57024
1523.516562,2888.407285,2253.99729,2134.634106
1529.130389,2899.774506,2202.842454,2125.78879
1558.139129,2917.893618,2252.651115,2134.338521
1595.257229,2933.587652,2270.469741,2185.340065
1552.535409,2894.918788,2245.909595,2113.216606
1525.77211,2881.830495,2252.684022,2161.661649
1610.820308,2878.180061,2272.559451,2143.667965
