cemented,uncemented,hybrid,reverse_hybrid
10.61202722,10.6818725,10.65306193,10.63143659
10.46337483,10.51566104,10.49511728,10.48680853
10.4953064,10.55596486,10.5329375,10.52326654
10.54318103,10.60320422,10.57747954,10.56681664
10.49239409,10.54294287,10.52232011,10.50344127
10.43762394,10.48062034,10.47024933,10.44894546
10.51149361,10.56557398,10.54810253,10.53236563
10.51423513,10.56669473,10.54210072,10.5321826
10.50859898,10.56510571,10.53953104,10.53563331
10.48830879,10.55379818,10.52925317,10.51562758
10.51890789,10.58191018,10.55400326,10.54433437
10.62211637,10.69550584,10.67026405,10.65101776
10.53247949,10.58770061,10.55932786,10.55129823
10.49869093,10.54814938,10.52363721,10.51207578
10.46507517,10.52944749,10.49976052,10.49499065
10.6134629,10.65782874,10.64244162,10.61921651
10.58053944,10.63255166,10.6103023,10.60751656
10.47723523,10.54035786,10.5164323,10.50344999
10.49511871,10.54654058,10.53910408,10.51770299
10.46598444,10.52166379,10.49598768,10.48858122
10.55465569,10.61595001,10.59603058,10.58298797
10.48377097,10.54116935,10.51119434,10.50972258
10.3928622,10.44115478,10.42405592,10.41423976
10.56278561,10.61050393,10.59573949,10.5789985
10.63924524,10.70597719,10.68057049,10.66483379
10.56602044,10.63027426,10.60547643,10.59403679
10.60133676,10.65648143,10.62893664,10.62465435
10.5090128,10.56156807,10.53820445,10.53215911
10.46970946,10.52200853,10.49364529,10.48313203
10.44603793,10.49486986,10.47818017,10.46662492
10.5323208,10.59020199,10.57036602,10.55637068
10.40460274,10.45067687,10.42349891,10.42067844
10.56345406,10.62812708,10.59561753,10.59590316
10.5671842,10.61504688,10.59413623,10.59090954
10.55844274,10.60134138,10.58176463,10.56561416
10.60773812,10.66452769,10.6314578,10.62467453
10.60331298,10.65575308,10.6371735,10.62222234
10.44395407,10.49737059,10.47294993,10.46648827
10.47667618,10.53413821,10.50938268,10.49640196
10.4758862,10.53222537,10.50485076,10.50126432
10.61044064,10.6648318,10.63313473,10.62121165
10.4563339,10.53037462,10.49301113,10.4884959
10.44607889,10.49827876,10.47641037,10.47153166
10.51273587,10.5796044,10.55456793,10.54765918
10.62245325,10.67945646,10.66168543,10.65176679
10.48118745,10.54408389,10.52356144,10.51207878
10.63345282,10.68819352,10.67261943,10.66103093
10.49755936,10.56072596,10.53063585,10.51697901
10.56234947,10.61598337,10.59293021,10.57810568
10.49568463,10.54998237,10.52527577,10.5159475
10.51592688,10.5684183,10.5444978,10.52723923
10.5431817,10.59213943,10.57183843,10.56188644
10.45348482,10.51128453,10.48140418,10.46796891
