Adverse.events,Death.1,Death.2,Death.3,Death.4,GP.1,GP.2,GP.3,GP.4,Hospital.1,Hospital.2,Hospital.3,Hospital.4,Infected.1,Infected.2,Infected.3,Infected.4,Mild.Compl.1,Mild.Compl.2,Mild.Compl.3,Mild.Compl.4,Pneumonia.1,Pneumonia.2,Pneumonia.3,Pneumonia.4,Repeat.GP.1,Repeat.GP.2,Repeat.GP.3,Repeat.GP.4,Trt.1,Trt.2,Trt.3,Trt.4,Trt.5,Trt.6,Trt.7,Trt.8,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,delta,deviance,eta,gamma.1,gamma.2,lambda,n.1,n.2,n.3,n.4,omega.1,omega.2,omega.3,omega.4,omega.5,omega.6,omega.7,phi,pi.1,pi.2,pi.3,pi.4,psi.1,psi.2,psi.3,psi.4,psi.5,psi.6,psi.7,psi.8,rho.1,rho.2,xi
3670,1,2,0,0,1642,812,0,221,1,0,0,0,3051,1520,0,427,731,352,0,103,39,17,0,3,692,335,0,100,697,589,331,284,0,0,90,85,0.030247263,0.52568815,0.414255932,0.016570021,0.000513181,0.000563317,0.071681367,5,-1.130824267,0.89197225,0.417416946,0.809328615,3.217718325,1.00E+05,0,48404,51596,3.881360041,0,0,6.126366376,5.238285316,16.98064676,0.486321428,0.514164769,0.030247263,0.030247263,0.007555385,0.007555385,27.0858376,2557.35326,8.103245727,8.179746356,49.81162325,3.35466076,1.341742561,0.868985269,0,0.750212588,0.948401698
1195,0,1,0,0,1622,857,0,236,1,0,0,0,10045,5042,0,1356,650,386,0,109,9,14,0,0,641,372,0,109,696,526,359,313,0,0,105,87,0.099638848,0.165860263,0.415854194,0.010819325,0.000392893,0.000599967,0.023710609,6,-0.358954732,0.90503381,0.418674662,0.81337713,2.650946992,1.00E+05,0,51554,48446,4.150544334,0,0,4.618060729,6.937557406,14.40746681,1.070350714,0.486096568,0.099638848,0.099638848,0.0283677,0.0283677,17.8305096,2737.853838,7.387533185,11.97454727,60.94062504,5.893296988,1.069069247,0.741354184,0,0.715294786,0.952868236
3334,1,2,0,0,1792,1072,0,208,3,2,0,1,5164,3114,0,593,758,399,0,96,31,21,0,8,727,378,0,88,758,609,437,328,0,0,73,75,0.051597321,0.352261555,0.386020834,0.017906555,0.000442896,0.000391838,0.084259561,8,-0.392608338,0.898001782,0.421155566,0.81408095,3.418949431,1.00E+05,0,60739,39261,3.633439957,0,0,5.543978547,5.436493417,20.74316462,0.35733516,0.391094574,0.051597321,0.051597321,0.014647093,0.014647093,31.4526629,2301.912204,4.475749883,8.762688766,40.81746973,2.489711746,1.282493515,0.532430613,0,0.71612687,0.952879443
3828,2,0,0,0,2781,1764,0,380,0,0,0,0,7369,4695,0,984,1199,767,0,157,60,32,0,8,1139,735,0,149,1155,994,749,612,0,0,153,125,0.072845553,0.374842057,0.405258157,0.015539713,0.000448905,0.001003762,0.111350113,6,-0.155387584,0.902330101,0.418426373,0.818069527,1.798896972,1.00E+05,0,64978,35022,4.062187645,0,0,7.704827682,8.331286974,12.13239066,0.510249803,0.348899459,0.072845553,0.072845553,0.030312798,0.030312798,23.49303897,1792.055317,5.789893625,11.1918328,58.93602799,2.58710625,1.259475989,0.494495927,0,0.583875787,0.956540707
442,2,0,0,0,1428,954,0,164,0,2,0,0,6189,4246,0,627,603,413,0,60,31,13,0,4,572,400,0,56,584,468,418,351,0,0,70,48,0.062340292,0.226338062,0.397545795,0.017760559,0.00061174,0.000374786,0.013655744,9,0.199081299,0.895333358,0.420112423,0.811286075,4.202515772,1.00E+05,0,67717,32283,5.186092449,0,0,5.513234683,7.911732237,15.02861513,0.479272843,0.322455598,0.062340292,0.062340292,0.019269477,0.019269477,16.29213626,3701.555778,5.352150903,12.31668871,56.59880631,2.699487559,2.500787921,0.899135936,0,0.69089851,0.947816518
3937,1,0,0,0,1408,617,0,268,1,0,0,0,4763,2080,0,888,585,247,0,116,16,5,0,0,569,242,0,116,600,482,247,194,0,0,118,96,0.048550838,0.291120655,0.406005764,0.010561249,0.000340742,0.000408342,0.067705829,8,1.255383078,0.900862997,0.418495983,0.813912741,3.690456593,1.00E+05,0,42745,57255,5.45813635,0,0,6.04993747,6.578969089,18.34746451,1.005577724,0.574726975,0.048550838,0.048550838,0.015792302,0.015792302,13.30106895,2431.084474,8.049855088,13.6100858,38.09682687,2.809263711,1.736550979,0.835284263,0,0.674726469,0.95118527
4913,1,0,0,0,477,238,0,72,0,0,0,0,4946,2726,0,731,215,92,0,33,3,3,0,1,212,89,0,32,204,165,98,79,0,0,32,28,0.050792511,0.09256977,0.403310052,0.013965957,0.000342865,0.000959079,0.107728731,7,-1.067018353,0.902863048,0.421455692,0.813385968,1.269998893,1.00E+05,0,54631,45369,3.703028244,0,0,5.346227741,7.46234664,16.3276556,0.339582439,0.45072661,0.050792511,0.050792511,0.016240561,0.016240561,22.75350444,2999.768798,7.458601583,7.961263176,34.72573689,4.359077452,1.228348422,1.061356306,0,0.680256776,0.941860752
4438,1,0,0,0,2683,1711,0,266,6,1,0,0,5821,3901,0,557,1067,675,0,110,37,25,0,6,1030,650,0,104,1133,884,722,530,0,0,111,88,0.058055985,0.453077055,0.393289185,0.012300512,0.000484341,0.00039023,0.128707744,3,1.268966793,0.894229925,0.419318187,0.813881782,3.289116212,1.00E+05,0,65721,34279,5.298882952,0,0,5.423498924,4.228347932,17.03146786,0.603468191,0.343040181,0.058055985,0.058055985,0.017650491,0.017650491,17.92828922,2931.953594,6.0415436,11.78696598,51.28742194,3.171177984,1.883491673,0.960882327,0,0.695974648,0.940958797
2995,2,2,0,0,3692,2451,0,355,2,0,0,1,8337,5653,0,817,1519,1050,0,154,46,35,0,4,1473,1015,0,150,1501,1240,1004,852,0,0,160,123,0.082917396,0.44219135,0.410029163,0.014655413,0.00057716,0.000569474,0.096407749,5,-0.349768681,0.897345559,0.418820147,0.818479202,3.213123085,1.00E+05,0,69441,30559,4.109735378,0,0,5.702746441,6.060512454,16.46727125,0.589844085,0.304041087,0.082917396,0.082917396,0.027423152,0.027423152,20.25274463,2029.961204,6.56561335,11.74868828,47.66980656,4.02365879,1.110214565,1.176780702,0,0.669271431,0.951525815
6528,1,0,0,0,2017,992,0,280,1,1,0,1,10409,5105,0,1420,812,402,0,114,32,18,0,1,780,384,0,113,820,651,382,321,0,0,109,100,0.102730148,0.195488249,0.392031659,0.01337105,0.00043191,0.000643107,0.13265795,3,1.264585274,0.894753752,0.417032066,0.822368545,2.822524724,1.00E+05,0,50214,49786,2.489981015,0,0,5.811979978,8.050591166,12.95527203,0.493620737,0.49798436,0.102730148,0.102730148,0.028269585,0.028269585,24.85487985,2880.769658,6.760106634,15.29575972,47.83308237,3.68324211,1.457059411,0.469850364,0,0.724817047,0.938726096
2220,2,0,0,0,2118,1573,0,144,0,0,0,0,7629,5719,0,447,886,610,0,70,35,16,0,2,851,594,0,68,876,722,658,497,0,0,65,57,0.075694825,0.272815981,0.389370557,0.012802727,0.000273738,0.000949323,0.085656454,7,-0.797735994,0.90507917,0.419208351,0.809750386,6.574372659,1.00E+05,0,74539,25461,5.927599293,0,0,5.130135564,4.787008442,7.062964434,0.535590493,0.25497114,0.075694825,0.075694825,0.017563099,0.017563099,17.42075059,2933.094181,12.83948899,15.32699883,56.25532201,1.868162412,1.44442743,0.654767636,0,0.767974907,0.946058021
3665,2,2,0,0,1233,797,0,189,1,0,0,0,6450,4085,0,878,523,327,0,84,14,7,0,1,509,320,0,83,519,429,333,266,0,0,77,66,0.062133477,0.188881808,0.400457507,0.013250297,0.000622359,0.000838712,0.105319131,7,-0.935496017,0.903230996,0.41939932,0.810969916,2.034744327,1.00E+05,0,64658,35342,3.590968101,0,0,5.644018672,4.995526684,12.49594626,0.602887127,0.353103405,0.062133477,0.062133477,0.024618677,0.024618677,18.6819685,3543.60185,5.986783253,13.81336768,59.66597364,3.1216038,1.015878166,0.832224949,0,0.603777573,0.954463612
